protocol,model,test_name,target_supervised,train_time_sec,input_dim,source_train_rows,target_train_rows,test_rows,threshold,threshold_source,source_validation_threshold,target_validation_threshold,source_validation_f1,target_validation_f1,best_epoch,best_val_f1,validation_domain_accuracy,model_path,preprocessor_path,history_path,score_path,training_curve_pdf,training_curve_png,confusion_pdf,confusion_png,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,mcc,fpr,fnr,tn,fp,fn,tp
DANN_UNSW_to_ToN,DANN,ToN-IoT test,False,201.089,187,140272,114284,38095,0.38999999999999996,source_validation,0.38999999999999996,0.05,0.9543555062077319,0.8644466968757453,9,0.9543555062077319,0.5283882783882784,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\dann\dann_unsw_to_ton.pt,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\dann\dann_unsw_to_ton_preprocessor.joblib,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\dann\dann_unsw_to_ton_history.csv,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\dann\dann_unsw_to_ton_test_scores.csv,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\dann\training_curve_dann_unsw_to_ton.pdf,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\dann\training_curve_dann_unsw_to_ton.png,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\dann\cm_dann_unsw_to_ton.pdf,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\dann\cm_dann_unsw_to_ton.png,0.677359,0.436817,0.755013,0.86745,0.807336,0.35131,0.674803,-0.171201,0.993815,0.13255,52,8356,3935,25752
DANN_ToN_to_UNSW,DANN,UNSW test,False,409.728,187,114284,140272,82332,0.235,source_validation,0.235,0.7849999999999999,0.9960584826842743,0.8646888567293777,27,0.9960584826842743,0.4793340987370838,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\dann\dann_ton_to_unsw.pt,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\dann\dann_ton_to_unsw_preprocessor.joblib,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\dann\dann_ton_to_unsw_history.csv,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\dann\dann_ton_to_unsw_test_scores.csv,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\dann\training_curve_dann_ton_to_unsw.pdf,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\dann\training_curve_dann_ton_to_unsw.png,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\dann\cm_dann_ton_to_unsw.pdf,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\dann\cm_dann_ton_to_unsw.png,0.647719,0.61363,0.616886,0.950476,0.748181,0.571063,0.553908,0.31517,0.723216,0.049524,10241,26759,2245,43087
DANN_Pooled_to_UNSW,DANN,UNSW test,True,226.5,187,140272,114284,82332,0.295,unsw_validation,0.295,0.21499999999999997,0.955031427474282,0.9959769050785261,10,0.9772792003160515,0.4793340987370838,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\dann\dann_pooled_to_unsw.pt,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\dann\dann_pooled_to_unsw_preprocessor.joblib,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\dann\dann_pooled_to_unsw_history.csv,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\dann\dann_pooled_to_unsw_test_scores.csv,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\dann\training_curve_dann_pooled_to_unsw.pdf,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\dann\training_curve_dann_pooled_to_unsw.png,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\dann\cm_dann_pooled_to_unsw.pdf,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\dann\cm_dann_pooled_to_unsw.png,0.819001,0.799893,0.756967,0.988706,0.857454,0.968163,0.976123,0.66388,0.388919,0.011294,22610,14390,512,44820
DANN_Pooled_to_ToN,DANN,ToN-IoT test,True,410.626,187,140272,114284,38095,0.31499999999999995,ton_validation,0.31499999999999995,0.31499999999999995,0.9561122163127765,0.9964290526883169,22,0.9781460001841112,0.4800311628669838,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\dann\dann_pooled_to_ton.pt,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\dann\dann_pooled_to_ton_preprocessor.joblib,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\dann\dann_pooled_to_ton_history.csv,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\dann\dann_pooled_to_ton_test_scores.csv,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\dann\training_curve_dann_pooled_to_ton.pdf,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\dann\training_curve_dann_pooled_to_ton.png,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\dann\cm_dann_pooled_to_ton.pdf,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\dann\cm_dann_pooled_to_ton.png,0.993674,0.990954,0.996058,0.995823,0.995941,0.998997,0.999355,0.981615,0.013915,0.004177,8291,117,124,29563
