protocol,epoch,train_loss,threshold,val_f1,val_roc_auc,val_pr_auc,val_balanced_accuracy,learning_rate
E1_UNSW_within,1,0.15802196542853894,0.31499999999999995,0.9507578795412623,0.9798600882495527,0.9902589183637354,0.8941246771814009,0.001
E1_UNSW_within,2,0.1087624643375908,0.19,0.9534176404674244,0.9829078904646193,0.9918333013988789,0.8971377118707469,0.001
E1_UNSW_within,3,0.10293245369541472,0.295,0.9542050981895978,0.9833304349484986,0.9920104487314285,0.9041552495615951,0.001
E1_UNSW_within,4,0.10054606426021327,0.30499999999999994,0.9549883243417344,0.9844131696522088,0.9925181934136404,0.9037091539085365,0.001
E1_UNSW_within,5,0.09811715684507204,0.285,0.9547686116700201,0.9843112648354412,0.9923928883507327,0.9030312685162464,0.001
E1_UNSW_within,6,0.09771138893953268,0.25499999999999995,0.9550075490689481,0.9854847179246243,0.9930530812642996,0.9037537967656792,0.001
E1_UNSW_within,7,0.0964703741280929,0.27999999999999997,0.9551018764596924,0.985524426856712,0.9930476627141722,0.9040007062358228,0.001
E1_UNSW_within,8,0.0956542362337527,0.285,0.9551427823952023,0.9856121396252161,0.9931091285544569,0.9037610068798143,0.001
E1_UNSW_within,9,0.09463816168515579,0.22499999999999998,0.9548950488703734,0.9857688544017045,0.9931978246742649,0.9001988364315938,0.001
E1_UNSW_within,10,0.09377612324728482,0.30499999999999994,0.9559946025416389,0.9860281304800609,0.9933135563864846,0.905654207040812,0.001
E1_UNSW_within,11,0.09366178037463754,0.27999999999999997,0.9564181755788369,0.9863601997210967,0.9934673563487562,0.9078575094414153,0.001
E1_UNSW_within,12,0.09307457981766135,0.22499999999999998,0.9560873418741439,0.9865474363789255,0.9935670345334232,0.9059248116953849,0.001
E1_UNSW_within,13,0.09286525769942049,0.295,0.9566347247035895,0.9867742996744132,0.9936714544541545,0.9119646691315095,0.001
E1_UNSW_within,14,0.092070950438147,0.285,0.9570215704594386,0.986744813954741,0.9936532719225786,0.9128812214587959,0.001
E1_UNSW_within,15,0.09163154650857483,0.29,0.9570438052113445,0.9867377085789697,0.9936266928610145,0.9098018799039997,0.001
E1_UNSW_within,16,0.0910407894331476,0.31499999999999995,0.9568854173073374,0.9875810413088106,0.9940722597525862,0.9187219095449567,0.001
E1_UNSW_within,17,0.09133169692063677,0.25999999999999995,0.9565445872746382,0.9874276706786447,0.9939810056980973,0.908899065135292,0.001
E1_UNSW_within,18,0.09023922584626985,0.245,0.9567152103559871,0.987468829114871,0.9940275692573273,0.9096535311043015,0.0005
E1_UNSW_within,19,0.08845568804637245,0.29,0.9574277938010318,0.9878560730295721,0.9942102010578685,0.9135371267573601,0.0005
E1_UNSW_within,20,0.08842106832974199,0.30999999999999994,0.9571916415968778,0.9873864205963504,0.9939818457171893,0.9136593826122346,0.0005
E1_UNSW_within,21,0.08760540284540343,0.32999999999999996,0.9580593125697977,0.9881984964059779,0.9943619088574067,0.9261930859213685,0.0005
E1_UNSW_within,22,0.08753768559815227,0.3,0.9577940577940578,0.9881866983774531,0.9943625187190781,0.9153722962539577,0.0005
E1_UNSW_within,23,0.08782755130011102,0.30499999999999994,0.9583997384659393,0.9883953746042387,0.994465397618763,0.9189643395797298,0.0005
E1_UNSW_within,24,0.08760673671528912,0.29,0.957795320563817,0.9878804321804132,0.9942165797853406,0.9169224408677125,0.0005
E1_UNSW_within,25,0.08741920441389084,0.33499999999999996,0.9578318253507098,0.988368421308571,0.9944432956690996,0.9280286051692871,0.0005
E1_UNSW_within,26,0.08649874575760054,0.31499999999999995,0.9574989783408255,0.9882096491713699,0.9943790850202261,0.917545043107318,0.0005
E1_UNSW_within,27,0.08704311249480731,0.26499999999999996,0.9577802135346892,0.9883181674676658,0.9944224326967643,0.9136827280453428,0.00025
E1_UNSW_within,28,0.0856201013793116,0.32999999999999996,0.9581514656295897,0.9885324266232949,0.9945300739329692,0.9265110809447998,0.00025
E1_UNSW_within,29,0.08578364680642667,0.32499999999999996,0.9583546925300909,0.9885698051267933,0.9945478469780056,0.921177949357505,0.00025
E1_UNSW_within,30,0.08524843542904094,0.29,0.9583147117376996,0.9885528001053369,0.9945377288980353,0.9150748991519185,0.00025
E1_UNSW_within,31,0.08518675844306531,0.32499999999999996,0.9591180712961055,0.9887195005625947,0.9946172970798242,0.9255509013484317,0.00025
E1_UNSW_within,32,0.08522589882646782,0.30999999999999994,0.9579623025980641,0.9884930169436748,0.9945131011899839,0.91650313766212,0.00025
E1_UNSW_within,33,0.08537200006885805,0.31999999999999995,0.9585487975047197,0.9887497793013053,0.9946330379021442,0.9219770581836573,0.00025
E1_UNSW_within,34,0.08538664618264073,0.30499999999999994,0.9584631786124324,0.988693050385138,0.9946034682690836,0.9212589925366435,0.00025
E1_UNSW_within,35,0.08505794168382451,0.3449999999999999,0.9582443112281939,0.9887427132024204,0.9946322229409887,0.9284029157664155,0.000125
E1_UNSW_within,36,0.08442859880734181,0.32999999999999996,0.9583678885387295,0.9886829674473167,0.9946009748089337,0.9282943974701197,0.000125
E1_UNSW_within,37,0.08391157256952231,0.25999999999999995,0.9584000973571588,0.9887822463236835,0.9946527304151345,0.9141954298163188,0.000125
E1_UNSW_within,38,0.08434919213903123,0.32999999999999996,0.9588059948662747,0.988674356457569,0.9945923091212998,0.9279842952305142,0.000125
E1_UNSW_within,39,0.0841202501585518,0.285,0.9583815733349582,0.9888420126523944,0.9946809316055987,0.9150903518012006,6.25e-05
E2_ToN_within,1,0.07248361987460937,0.145,0.9886956229182787,0.9951691649703822,0.9986088409977731,0.972825494550069,0.001
E2_ToN_within,2,0.03259854700549373,0.08,0.9896462903415882,0.99726197602022,0.9992297482459844,0.9760019995489253,0.001
E2_ToN_within,3,0.028380455316177437,0.31999999999999995,0.9901626043744295,0.9978157496816532,0.9993818054871498,0.9823121443848164,0.001
E2_ToN_within,4,0.024960406523730074,0.18,0.9923189898205513,0.9984110464020796,0.9995407038110167,0.9855593721933025,0.001
E2_ToN_within,5,0.02323454645063196,0.13,0.9930383480825958,0.9985065179884887,0.999509553678385,0.985286382468634,0.001
E2_ToN_within,6,0.02121336606796831,0.15499999999999997,0.9953212831128614,0.9987891428095802,0.9996582013859423,0.9884552254625383,0.001
E2_ToN_within,7,0.019842792485308434,0.235,0.9947860602798708,0.9989552230267219,0.9996956880765377,0.9864244015351156,0.001
E2_ToN_within,8,0.018255058509696807,0.12,0.9953867394012863,0.999226648300183,0.9997646387512333,0.9891193420109723,0.001
E2_ToN_within,9,0.01773119460059596,0.37999999999999995,0.994771638669635,0.9991426026160605,0.9997484941499655,0.9899196339211418,0.001
E2_ToN_within,10,0.016265285334416797,0.31499999999999995,0.9960944075957039,0.9992897912335414,0.9997834982368243,0.9905513436941215,0.001
E2_ToN_within,11,0.015245375822165183,0.06,0.9955751467940845,0.9993525715988221,0.9998000575861612,0.9886226117260142,0.001
E2_ToN_within,12,0.014648217857549233,0.16999999999999998,0.9959759567625814,0.9993761685709357,0.9998046880815401,0.9904760717568457,0.001
E2_ToN_within,13,0.013912412604050977,0.235,0.9960740703297444,0.9994238853343241,0.9998166650211334,0.9916427457202786,0.001
E2_ToN_within,14,0.013690536700388682,0.13,0.9966149648865761,0.9994725375634149,0.9998274828396811,0.9922243269510561,0.001
E2_ToN_within,15,0.013947176381147333,0.11499999999999999,0.996447632035288,0.9994477186767864,0.9998293439697543,0.9914591560690755,0.001
E2_ToN_within,16,0.013839728406830025,0.21499999999999997,0.995924279170035,0.9993205874856019,0.9997927295552718,0.9907239180864404,0.001
E2_ToN_within,17,0.013332405900915287,0.14999999999999997,0.9961421182971412,0.9993683683494238,0.9998087997657701,0.9915822409203899,0.001
E2_ToN_within,18,0.012210487936889487,0.13999999999999999,0.9964984343961483,0.9995162460465656,0.9998458502914318,0.9914670584506535,0.0005
E2_ToN_within,19,0.011549470746623618,0.21999999999999997,0.9966648699636168,0.9995447366861557,0.9998526793056204,0.9925732276141976,0.0005
E2_ToN_within,20,0.011185477030396993,0.19999999999999996,0.9966154208833583,0.9995658637884376,0.9998589825839497,0.9920538278102744,0.0005
E2_ToN_within,21,0.010580046967204128,0.19999999999999996,0.9967492546866316,0.9995784955801309,0.9998676350900222,0.9927000643440151,0.0005
E2_ToN_within,22,0.01096595000542168,0.185,0.9968330975001685,0.9995957686438435,0.9998709309401127,0.9930400249998101,0.0005
E2_ToN_within,23,0.010585442900524608,0.07,0.9965853084156168,0.9995708576128415,0.9998640229153751,0.9906561499061715,0.0005
E2_ToN_within,24,0.010304688742118222,0.145,0.996733786786989,0.9995800279811212,0.9998639615849348,0.99212909974755,0.0005
E2_ToN_within,25,0.010366541416650372,0.235,0.9968328840970351,0.9995903601697599,0.9998659054510578,0.9931252745702009,0.00025
E2_ToN_within,26,0.009956299011329455,0.235,0.9968840006063566,0.9996040355966374,0.9998719957779735,0.9930053025961926,0.00025
E2_ToN_within,27,0.009829870583156921,0.195,0.9969519896266609,0.9996219676929328,0.9998774444441303,0.9929021730111085,0.00025
E2_ToN_within,28,0.009722151045155312,0.22999999999999998,0.9969171678374691,0.999612917512966,0.9998738096793801,0.993294736085214,0.00025
E2_ToN_within,29,0.009560623671859503,0.19999999999999996,0.9969179985516278,0.9996135585173018,0.9998744388660491,0.9929537378036506,0.00025
E2_ToN_within,30,0.009493560746445187,0.22999999999999998,0.9969509627208868,0.9996249002877695,0.9998769121549382,0.993328420863063,0.000125
E2_ToN_within,31,0.00914155358415363,0.185,0.9969515789473684,0.9996175848257864,0.9998754494473991,0.9930726721518903,0.000125
E2_ToN_within,32,0.009078665827733598,0.14999999999999997,0.9970532271372523,0.9996253730284672,0.9998796746459622,0.9930458521298506,0.000125
E2_ToN_within,33,0.009156114055908151,0.30499999999999994,0.9969496267084619,0.9996137448091871,0.9998748356960123,0.9938825430706038,0.000125
E2_ToN_within,34,0.009219303660626923,0.20499999999999996,0.9971026211171754,0.9996140312579996,0.9998738419542323,0.9936505015041648,0.000125
E2_ToN_within,35,0.009270198992453516,0.16999999999999998,0.9969857708175465,0.9996308295778759,0.9998788425959725,0.9929358577889574,0.000125
E2_ToN_within,36,0.009171896239942206,0.175,0.9972044459413945,0.9996250344980521,0.9998770837246765,0.9935384319117342,0.000125
E2_ToN_within,37,0.00916960635887725,0.235,0.9971365045142164,0.9996254431383164,0.9998766362653833,0.9936415614968181,0.000125
E2_ToN_within,38,0.008936391640288224,0.19,0.9970360390703941,0.9996267692160361,0.9998763760638619,0.9931568840965126,0.000125
E2_ToN_within,39,0.009147039905656129,0.24,0.997102523499882,0.9996300763977813,0.999881531789284,0.9936931262893602,0.000125
E2_ToN_within,40,0.008619072564345385,0.15499999999999997,0.9971873684210526,0.9996214488800484,0.9998771939383125,0.9936068390932007,6.25e-05
E2_ToN_within,41,0.008856717497110367,0.22499999999999998,0.9971700020214271,0.9996362140142971,0.9998808376805223,0.9938031206302533,6.25e-05
E2_ToN_within,42,0.008951295391722982,0.15999999999999998,0.9971876526161567,0.9996299522031913,0.9998799827179361,0.9934789647376143,6.25e-05
E2_ToN_within,43,0.008671314339153469,0.19999999999999996,0.9972547368421053,0.9996386979060986,0.9998822996992891,0.9937594582192892,6.25e-05
E2_ToN_within,44,0.0087661723290304,0.18,0.9972548293110127,0.9996334276485747,0.9998805874733941,0.9937168334340939,3.125e-05
E2_ToN_within,45,0.008956057327200792,0.19,0.9971876526161567,0.99963554696916,0.9998812659046757,0.9934789647376143,3.125e-05
E3_UNSW_to_ToN,1,0.15885618285856384,0.26499999999999996,0.9508308444747339,0.9792996613210201,0.9900201393094097,0.8940690442773951,0.001
E3_UNSW_to_ToN,2,0.10897006709938464,0.10999999999999999,0.9533506701340269,0.9834839065763722,0.9920761909174172,0.896840664520029,0.001
E3_UNSW_to_ToN,3,0.10279782537532889,0.33499999999999996,0.9548360987454472,0.9840969140337437,0.9923729854129066,0.9068733185751991,0.001
E3_UNSW_to_ToN,4,0.09942410421976144,0.285,0.9552286923231916,0.9845742104971781,0.9926016538151404,0.9047132768594053,0.001
E3_UNSW_to_ToN,5,0.09870807740135469,0.3,0.9558343080708265,0.9851325875463093,0.9928892322931893,0.9062840193945525,0.001
E3_UNSW_to_ToN,6,0.09661658043446748,0.31999999999999995,0.9557650764167895,0.9855489150601797,0.9930900244164085,0.9069028417014298,0.001
E3_UNSW_to_ToN,7,0.09626567255759584,0.30999999999999994,0.9555330360762059,0.985806393753404,0.9931983436953784,0.9090673460196429,0.001
E3_UNSW_to_ToN,8,0.0950880682338839,0.27999999999999997,0.9560769308226764,0.9861698527079356,0.9933702259107982,0.9057616929160957,0.001
E3_UNSW_to_ToN,9,0.09392848416515019,0.27499999999999997,0.9561007101355713,0.9858249230921159,0.9932142924651259,0.906956409763411,0.001
E3_UNSW_to_ToN,10,0.09393194490584775,0.27499999999999997,0.9557814895505528,0.986359769545675,0.9934647327284037,0.9063842951557011,0.001
E3_UNSW_to_ToN,11,0.09275172726399657,0.30999999999999994,0.9563278050362921,0.9861877049879402,0.9933699284808133,0.910592413276635,0.001
E3_UNSW_to_ToN,12,0.09282955311346745,0.295,0.9567782739598699,0.9868310566454994,0.9937008242618632,0.9091057943507119,0.001
E3_UNSW_to_ToN,13,0.09234946707020635,0.29,0.9566530612244898,0.9863535432240264,0.9934720698815451,0.9153911959175978,0.001
E3_UNSW_to_ToN,14,0.09160851082508115,0.31999999999999995,0.9563921440529174,0.9869901673120545,0.9937915721265238,0.915210909398323,0.001
E3_UNSW_to_ToN,15,0.09097157461919646,0.285,0.9565252755297085,0.9870265601527384,0.9938069395482887,0.9128231907943956,0.001
E3_UNSW_to_ToN,16,0.09132427808599196,0.29,0.9573565983122019,0.9878238248355609,0.9941809396330297,0.915753484046851,0.001
E3_UNSW_to_ToN,17,0.09122840520264446,0.285,0.9565305379042377,0.9863298536505809,0.9934567278237931,0.9096992063824566,0.001
E3_UNSW_to_ToN,18,0.09057998506055362,0.3499999999999999,0.9568120003296794,0.9877347093211157,0.9941475457319306,0.9218541364920428,0.001
E3_UNSW_to_ToN,19,0.09018324499112973,0.27499999999999997,0.9570741409754216,0.9877107522907776,0.9941495002551093,0.9124756558117821,0.001
E3_UNSW_to_ToN,20,0.09004571634358254,0.3,0.957168083446265,0.9879800888630201,0.994243701477977,0.9201679984648348,0.0005
E3_UNSW_to_ToN,21,0.08810250201950902,0.25999999999999995,0.9569966422589911,0.9880256051633021,0.9942964100954745,0.9101363599977257,0.0005
E3_UNSW_to_ToN,22,0.08716472583836403,0.32999999999999996,0.9571854747453966,0.9882595289466911,0.9944078162452535,0.9214811912342967,0.0005
E3_UNSW_to_ToN,23,0.08778504984102388,0.30999999999999994,0.9575044287430514,0.9873536805060958,0.9939730591035395,0.9152895379841157,0.0005
E3_UNSW_to_ToN,24,0.08765947570403416,0.31499999999999995,0.9576702348487932,0.9882188511847405,0.9943846180316238,0.9151992198488177,0.0005
E3_UNSW_to_ToN,25,0.08648226410150528,0.285,0.9577624875682478,0.9884455274474364,0.9944887690750347,0.9136143900037705,0.0005
E3_UNSW_to_ToN,26,0.08690373264793036,0.32499999999999996,0.9574918332545764,0.988370246748622,0.9944587901796336,0.9210690981428391,0.0005
E3_UNSW_to_ToN,27,0.08621693586093793,0.29,0.9573730617208878,0.9881737949851271,0.9943645812197548,0.9121109530891832,0.0005
E3_UNSW_to_ToN,28,0.08686737608218538,0.27499999999999997,0.9570686133748559,0.98820005064848,0.9943747111269123,0.9100807270937199,0.00025
E3_UNSW_to_ToN,29,0.08579811551000761,0.32999999999999996,0.9585598247318273,0.9886132266598038,0.9945717896830192,0.9266037968404925,0.00025
E3_UNSW_to_ToN,30,0.08495987617019293,0.30499999999999994,0.9584184298668409,0.9887139456886698,0.9946191986794153,0.9187036925510076,0.00025
E3_UNSW_to_ToN,31,0.08491693976996602,0.31499999999999995,0.9591811617984903,0.9887411309049993,0.9946286116380075,0.9227239642872105,0.00025
E3_UNSW_to_ToN,32,0.08470735752928084,0.3,0.9589651367147587,0.9888903681104602,0.994701622653773,0.9199773877354369,0.00025
E3_UNSW_to_ToN,33,0.08496115097533101,0.3449999999999999,0.9582486836104316,0.9886872374059599,0.9946047410051617,0.9280265403272625,0.00025
E3_UNSW_to_ToN,34,0.08535514404808266,0.32499999999999996,0.9583796010692988,0.9885484684258721,0.994536209059443,0.9230543315298385,0.00025
