protocol,model,split,test_name,train_rows,eval_rows,train_attack_percent,eval_attack_percent,train_time_sec,model_path,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,mcc,fpr,fnr,tn,fp,fn,tp
E3_UNSW_to_ToN,Random Forest,test,ToN-IoT test,140272,38095,68.062,77.929,5.492,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e3_unsw_to_ton__random_forest.joblib,0.341252,0.34853,0.649791,0.3355,0.442519,0.20372,0.659017,-0.256206,0.63844,0.6645,3040,5368,19727,9960
E3_UNSW_to_ToN,XGBoost,validation,validation,140272,35069,68.062,68.063,2.193,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e3_unsw_to_ton__xgboost.joblib,0.934301,0.939842,0.977757,0.924505,0.950385,0.990015,0.99522,0.85633,0.044821,0.075495,10698,502,1802,22067
E3_UNSW_to_ToN,XGBoost,test,ToN-IoT test,140272,38095,68.062,77.929,2.193,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e3_unsw_to_ton__xgboost.joblib,0.39958,0.282376,0.65203,0.492202,0.560954,0.133771,0.617952,-0.366778,0.92745,0.507798,610,7798,15075,14612
E3_UNSW_to_ToN,LightGBM,validation,validation,140272,35069,68.062,68.063,1.778,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e3_unsw_to_ton__lightgbm.joblib,0.940375,0.943782,0.977044,0.93435,0.95522,0.991041,0.995718,0.868095,0.046786,0.06565,10676,524,1567,22302
E3_UNSW_to_ToN,LightGBM,test,ToN-IoT test,140272,38095,68.062,77.929,1.778,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e3_unsw_to_ton__lightgbm.joblib,0.338076,0.235455,0.609492,0.419173,0.496727,0.11859,0.618618,-0.439994,0.948264,0.580827,435,7973,17243,12444
E4_ToN_to_UNSW,Logistic Regression,validation,validation,114284,38095,77.929,77.929,5.303,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e4_ton_to_unsw__logistic_regression.joblib,0.971177,0.971021,0.991541,0.971301,0.981316,0.989862,0.996633,0.919256,0.029258,0.028699,8162,246,852,28835
E4_ToN_to_UNSW,Logistic Regression,test,UNSW test,114284,82332,77.929,55.06,5.303,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e4_ton_to_unsw__logistic_regression.joblib,0.379464,0.365437,0.444049,0.504037,0.472145,0.306585,0.435326,-0.276522,0.773162,0.495963,8393,28607,22483,22849
E4_ToN_to_UNSW,Random Forest,validation,validation,114284,38095,77.929,77.929,3.084,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e4_ton_to_unsw__random_forest.joblib,0.996535,0.995987,0.998583,0.996968,0.997775,0.99976,0.99992,0.989954,0.004995,0.003032,8366,42,90,29597
E4_ToN_to_UNSW,Random Forest,test,UNSW test,114284,82332,77.929,55.06,3.084,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e4_ton_to_unsw__random_forest.joblib,0.348734,0.329899,0.424753,0.516015,0.465958,0.262939,0.424571,-0.359592,0.856216,0.483985,5320,31680,21940,23392
E4_ToN_to_UNSW,XGBoost,validation,validation,114284,38095,77.929,77.929,0.812,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e4_ton_to_unsw__xgboost.joblib,0.995354,0.995186,0.998547,0.995486,0.997014,0.999732,0.99991,0.986569,0.005114,0.004514,8365,43,134,29553
E4_ToN_to_UNSW,XGBoost,test,UNSW test,114284,82332,77.929,55.06,0.812,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e4_ton_to_unsw__xgboost.joblib,0.3705,0.374386,0.412116,0.335988,0.370179,0.328068,0.444257,-0.251255,0.587216,0.664012,15273,21727,30101,15231
