dann_protocol,baseline_protocol,test_name,best_baseline,baseline_f1,residual_mlp_f1,dann_f1,dann_minus_baseline_f1,dann_minus_residual_mlp_f1,baseline_roc_auc,residual_mlp_roc_auc,dann_roc_auc,dann_minus_baseline_roc_auc,dann_minus_residual_mlp_roc_auc,baseline_mcc,residual_mlp_mcc,dann_mcc,dann_minus_baseline_mcc,dann_minus_residual_mlp_mcc
DANN_UNSW_to_ToN,E3_UNSW_to_ToN,ToN-IoT test,XGBoost,0.560954,0.416053,0.807336,0.2463820000000001,0.39128300000000005,0.133771,0.211682,0.35131,0.217539,0.139628,-0.366778,-0.16133,-0.171201,0.195577,-0.009870999999999991
DANN_ToN_to_UNSW,E4_ToN_to_UNSW,UNSW test,LightGBM,0.498965,0.678033,0.748181,0.249216,0.07014799999999999,0.293473,0.518654,0.571063,0.27759,0.05240900000000004,-0.320978,-0.021631,0.31517,0.6361479999999999,0.336801
DANN_Pooled_to_UNSW,E5_Pooled_to_UNSW,UNSW test,LightGBM,0.929659,0.877785,0.857454,-0.07220499999999996,-0.020330999999999988,0.980942,0.973193,0.968163,-0.012778999999999985,-0.005029999999999979,0.844673,0.713644,0.66388,-0.18079299999999998,-0.04976399999999992
DANN_Pooled_to_ToN,E5_Pooled_to_ToN,ToN-IoT test,Random Forest,0.997269,0.996664,0.995941,-0.0013279999999999959,-0.0007230000000000292,0.999711,0.999251,0.998997,-0.0007139999999999924,-0.00025399999999997647,0.987668,0.984903,0.981615,-0.006052999999999975,-0.0032879999999999576
