protocol,test_name,best_baseline,baseline_f1,residual_mlp_f1,delta_f1,baseline_roc_auc,residual_mlp_roc_auc,delta_roc_auc,baseline_mcc,residual_mlp_mcc,delta_mcc,residual_mlp_fpr,residual_mlp_fnr,residual_mlp_precision,residual_mlp_recall,note
E1_UNSW_within,UNSW test,XGBoost,0.924482,0.879418,-0.04506399999999999,0.980106,0.974105,-0.006001000000000034,0.830353,0.717251,-0.11310200000000004,0.293486,0.027221,0.802409,0.972779,baseline has higher F1
E2_ToN_within,ToN-IoT test,LightGBM,0.997538,0.996934,-0.0006040000000000489,0.99971,0.999412,-0.00029800000000002047,0.988913,0.986117,-0.0027960000000000207,0.010347,0.0032,0.997069,0.9968,baseline has higher F1
E3_UNSW_to_ToN,ToN-IoT test,XGBoost,0.560954,0.416053,-0.14490099999999995,0.133771,0.211682,0.07791100000000001,-0.366778,-0.16133,0.205448,0.482755,0.701418,0.685909,0.298582,mixed result
E4_ToN_to_UNSW,UNSW test,LightGBM,0.498965,0.678033,0.179068,0.293473,0.518654,0.22518099999999996,-0.320978,-0.021631,0.299347,0.904892,0.10829,0.546966,0.89171,MLP improves F1 and MCC
E5_Pooled_to_UNSW,UNSW test,LightGBM,0.929659,0.877785,-0.051873999999999976,0.980942,0.973193,-0.007749000000000006,0.844673,0.713644,-0.13102900000000006,0.306027,0.022434,0.796488,0.977566,baseline has higher F1
E5_Pooled_to_ToN,ToN-IoT test,Random Forest,0.997269,0.996664,-0.0006049999999999667,0.999711,0.999251,-0.00046000000000001595,0.987668,0.984903,-0.0027650000000000174,0.010704,0.003638,0.996967,0.996362,baseline has higher F1
