protocol,model,threshold,tn,fp,fn,tp,figure_pdf,figure_png
E1_UNSW_within,Residual MLP,0.32499999999999996,26141,10859,1234,44098,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\residual_mlp\cm_e1_unsw_within.pdf,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\residual_mlp\cm_e1_unsw_within.png
E2_ToN_within,Residual MLP,0.18,8321,87,95,29592,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\residual_mlp\cm_e2_ton_within.pdf,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\residual_mlp\cm_e2_ton_within.png
E3_UNSW_to_ToN,Residual MLP,0.31499999999999995,4349,4059,20823,8864,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\residual_mlp\cm_e3_unsw_to_ton.pdf,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\residual_mlp\cm_e3_unsw_to_ton.png
E4_ToN_to_UNSW,Residual MLP,0.13,3519,33481,4909,40423,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\residual_mlp\cm_e4_ton_to_unsw.pdf,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\residual_mlp\cm_e4_ton_to_unsw.png
E5_Pooled_to_UNSW,Residual MLP,0.27499999999999997,25677,11323,1017,44315,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\residual_mlp\cm_e5_pooled_to_unsw.pdf,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\residual_mlp\cm_e5_pooled_to_unsw.png
E5_Pooled_to_ToN,Residual MLP,0.25499999999999995,8318,90,108,29579,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\residual_mlp\cm_e5_pooled_to_ton.pdf,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\residual_mlp\cm_e5_pooled_to_ton.png
