encoded_feature,feature_group,evidence,raw_value,encoded_value,shap_value,abs_shap_value,direction
duration,duration,duration=0.013751,0.013751,-0.40683858158193725,-2.169120126825359,2.169120126825359,normal
bytes_per_sec,bytes_per_sec,bytes_per_sec=1831721.33,1831721.329357865,0.8211651937921507,-1.591274821142892,1.591274821142892,normal
total_pkts,total_pkts,total_pkts=130.0000,130.0,2.178119146786963,-1.4156950135427424,1.4156950135427424,normal
pkts_per_sec,pkts_per_sec,pkts_per_sec=9453.86,9453.857901243546,0.4826493125837752,-1.2855106380096306,1.2855106380096306,normal
service_ssh,service,service=ssh,ssh,1.0,-1.2105529242732567,1.2105529242732567,normal
dst_pkts,dst_pkts,dst_pkts=60.0000,60.0,2.3023108099663596,-1.1350153248157535,1.1350153248157535,normal
src_pkts,src_pkts,src_pkts=70.0000,70.0,2.2135393751713637,-0.6493105450239913,0.6493105450239913,normal
src_bytes,src_bytes,src_bytes=12472.00,12472.0,1.6717276268822439,-0.5473475798751987,0.5473475798751987,normal
