encoded_feature,feature_group,evidence,raw_value,encoded_value,shap_value,abs_shap_value,direction
state_REJ,state,state=REJ,REJ,1.0,4.963980821519605,4.963980821519605,attack
bytes_per_sec,bytes_per_sec,bytes_per_sec=0.000000,0.0,-1.3686406343998219,0.9232023838123483,0.9232023838123483,attack
src_to_dst_pkt_ratio,src_to_dst_pkt_ratio,src_to_dst_pkt_ratio=2.0000,2.0,1.5768479942577125,0.9228915095654491,0.9228915095654491,attack
total_bytes,total_bytes,total_bytes=0.000000,0.0,-1.4315354151032904,0.5689334501936495,0.5689334501936495,attack
duration,duration,duration=0.000262,0.000262,-0.4234595981696383,-0.4799623695297926,0.4799623695297926,normal
src_pkts,src_pkts,src_pkts=4.0000,4.0,-0.06510607511908344,0.21080376463174894,0.21080376463174894,attack
pkts_per_sec,pkts_per_sec,pkts_per_sec=22900.76,22900.763358778622,0.6751021563532011,-0.20280808037768017,0.20280808037768017,normal
total_pkts,total_pkts,total_pkts=6.0000,6.0,-0.05176143218120298,0.19006929810838152,0.19006929810838152,attack
