encoded_feature,feature_group,evidence,raw_value,encoded_value,shap_value,abs_shap_value,direction
bytes_per_sec,bytes_per_sec,bytes_per_sec=279121.59,279121.59137227124,0.5354789357289526,-2.182029060400427,2.182029060400427,normal
total_pkts,total_pkts,total_pkts=84.0000,84.0,1.848849254036073,-1.685335946818939,1.685335946818939,normal
duration,duration,duration=0.299314,0.299314,-0.09889663660898686,-1.4708742593229802,1.4708742593229802,normal
src_bytes,src_bytes,src_bytes=1148.00,1148.0,0.8858615529695681,-1.1920561019717761,1.1920561019717761,normal
service_http,service,service=http,http,1.0,0.803102686136727,0.803102686136727,attack
dst_pkts,dst_pkts,dst_pkts=66.0000,66.0,2.3744681137525347,-0.6759421035699149,0.6759421035699149,normal
dst_bytes_per_pkt,dst_bytes_per_pkt,dst_bytes_per_pkt=1248.44,1248.439393939394,1.9294916019009467,0.5431280959170566,0.5431280959170566,attack
src_to_dst_pkt_ratio,src_to_dst_pkt_ratio,src_to_dst_pkt_ratio=0.272727,0.2727272727272727,-0.44452179806645664,0.3645541370914223,0.3645541370914223,attack
