encoded_feature,feature_group,evidence,raw_value,encoded_value,shap_value,abs_shap_value,direction
dst_bytes_per_pkt,dst_bytes_per_pkt,dst_bytes_per_pkt=103.0000,103.0,0.9657018912966243,-1.3914904657588882,1.3914904657588882,normal
duration,duration,duration=0.011987,0.011987,-0.40899955298369733,-1.3349266695189705,1.3349266695189705,normal
src_bytes_per_pkt,src_bytes_per_pkt,src_bytes_per_pkt=47.0000,47.0,0.3343792242878345,-0.5934947035747431,0.5934947035747431,normal
total_bytes,total_bytes,total_bytes=150.0000,150.0,0.013255131074838191,-0.586443925575719,0.586443925575719,normal
total_pkts,total_pkts,total_pkts=2.0000,2.0,-0.6967555659603998,-0.5218613785154187,0.5218613785154187,normal
src_bytes,src_bytes,src_bytes=47.0000,47.0,-0.16060231046598933,-0.4324794618226817,0.4324794618226817,normal
state_SF,state,state=SF,SF,1.0,0.41080046590639085,0.41080046590639085,attack
src_pkts,src_pkts,src_pkts=1.0000,1.0,-0.8520308016158766,-0.3830464366910594,0.3830464366910594,normal
