encoded_feature,feature_group,evidence,raw_value,encoded_value,shap_value,abs_shap_value,direction
state_S0,state,state=S0,S0,1.0,-2.51955103996184,2.51955103996184,normal
duration,duration,duration=0.138033,0.138033,-0.26334687832526293,-2.300748001865145,2.300748001865145,normal
src_pkts,src_pkts,src_pkts=120.0000,120.0,2.671383105825968,-2.2700654229076918,2.2700654229076918,normal
total_pkts,total_pkts,total_pkts=120.0000,120.0,2.117671802197012,-1.8485633612002894,1.8485633612002894,normal
pkts_per_sec,pkts_per_sec,pkts_per_sec=869.3573,869.357327595575,-0.0362620076179023,-1.21030654830508,1.21030654830508,normal
src_to_dst_pkt_ratio,src_to_dst_pkt_ratio,src_to_dst_pkt_ratio=0.000000,0.0,-1.013041904069537,-1.014078203208985,1.014078203208985,normal
bytes_per_sec,bytes_per_sec,bytes_per_sec=0.000000,0.0,-1.3686406343998219,0.3047641858110968,0.3047641858110968,attack
total_bytes,total_bytes,total_bytes=0.000000,0.0,-1.4315354151032904,0.2963093171976876,0.2963093171976876,attack
