protocol,attack_type,samples,metric,detection_rate,predicted_attack_percent,correct_percent
E5_Pooled_to_UNSW,analysis,677,recall,0.9985228951255539,99.85228951255539,99.85228951255539
E5_Pooled_to_UNSW,backdoor,583,recall,0.9862778730703259,98.62778730703259,98.62778730703259
E5_Pooled_to_UNSW,dos,4089,recall,0.9696747370995353,96.96747370995354,96.96747370995354
E5_Pooled_to_UNSW,exploits,11132,recall,0.9608336327703917,96.08336327703917,96.08336327703917
E5_Pooled_to_UNSW,fuzzers,6062,recall,0.5682942923127681,56.829429231276805,56.829429231276805
E5_Pooled_to_UNSW,generic,18871,recall,0.9960786391818134,99.60786391818134,99.60786391818134
E5_Pooled_to_UNSW,normal,37000,specificity,0.9215135135135135,7.848648648648648,92.15135135135135
E5_Pooled_to_UNSW,reconnaissance,3496,recall,0.9816933638443935,98.16933638443935,98.16933638443935
E5_Pooled_to_UNSW,shellcode,378,recall,0.708994708994709,70.8994708994709,70.8994708994709
E5_Pooled_to_UNSW,worms,44,recall,0.9545454545454546,95.45454545454545,95.45454545454545
