feature_group,mean_abs_shap,mean_signed_shap,median_abs_shap,max_abs_shap,encoded_features,rank,protocol,model,test_name,sample_size
state,3.314966080820348,0.5993051502105375,2.6689888674453637,6.981860416074723,22,1,E5_Pooled_to_ToN,LightGBM,ToN-IoT test,5000
duration,1.0705876209617553,-0.14430460922294655,0.6692798247930112,2.5728156057074054,1,2,E5_Pooled_to_ToN,LightGBM,ToN-IoT test,5000
proto,1.0678530252668283,0.2848081001172638,0.6699895005636953,5.808434400175967,133,3,E5_Pooled_to_ToN,LightGBM,ToN-IoT test,5000
pkts_per_sec,0.5318868909106113,0.10845190884971508,0.3008499584406902,2.7242299113659745,1,4,E5_Pooled_to_ToN,LightGBM,ToN-IoT test,5000
bytes_per_sec,0.4999837111713931,0.17648071569108956,0.42187402012338127,1.9730075699641214,1,5,E5_Pooled_to_ToN,LightGBM,ToN-IoT test,5000
service,0.4635107122364604,0.0059258649262841,0.33108727798847815,2.1474831938395944,17,6,E5_Pooled_to_ToN,LightGBM,ToN-IoT test,5000
total_bytes,0.41671206132109345,0.20004829488016238,0.328454503949332,1.1658758664925668,1,7,E5_Pooled_to_ToN,LightGBM,ToN-IoT test,5000
src_pkts,0.37321027290713127,0.07115797982823678,0.2242191588993599,2.3582793787921355,1,8,E5_Pooled_to_ToN,LightGBM,ToN-IoT test,5000
src_to_dst_pkt_ratio,0.3709687208075439,-0.06420937611823552,0.2925869479953626,1.5986370647183443,1,9,E5_Pooled_to_ToN,LightGBM,ToN-IoT test,5000
total_pkts,0.26597443438073,0.013972799328988412,0.07365104790550997,7.157592230583141,1,10,E5_Pooled_to_ToN,LightGBM,ToN-IoT test,5000
dst_bytes_per_pkt,0.24559730723114787,0.0893544299922812,0.09622976330540946,1.938654148127043,1,11,E5_Pooled_to_ToN,LightGBM,ToN-IoT test,5000
src_bytes,0.24545263088599678,-0.06188966740175459,0.1713594873646979,2.303972428462263,1,12,E5_Pooled_to_ToN,LightGBM,ToN-IoT test,5000
src_bytes_per_pkt,0.2046428062035829,-0.06430415401411047,0.18067835321460576,1.4502211596127235,1,13,E5_Pooled_to_ToN,LightGBM,ToN-IoT test,5000
dst_bytes,0.1953429712223061,0.1530488698862956,0.16473585694584764,2.2246112414964396,1,14,E5_Pooled_to_ToN,LightGBM,ToN-IoT test,5000
dst_pkts,0.09004145717728855,0.08192780616780306,0.05953285576312812,0.8029575640154417,1,15,E5_Pooled_to_ToN,LightGBM,ToN-IoT test,5000
pkt_imbalance,0.07535375534908806,-0.006256334818358928,0.02991413009528531,1.4071429935309145,1,16,E5_Pooled_to_ToN,LightGBM,ToN-IoT test,5000
byte_imbalance,0.05684245547631917,0.01931823189454174,0.019960899627557975,1.1787573550909256,1,17,E5_Pooled_to_ToN,LightGBM,ToN-IoT test,5000
src_to_dst_byte_ratio,0.050326813604028936,0.02901839083247038,0.03712214405812239,0.5884151517801164,1,18,E5_Pooled_to_ToN,LightGBM,ToN-IoT test,5000
