protocol,attack_type,samples,metric,detection_rate,predicted_attack_percent,correct_percent
E5_Pooled_to_ToN,backdoor,3742,recall,0.9997327632282202,99.97327632282203,99.97327632282203
E5_Pooled_to_ToN,ddos,3999,recall,0.9804951237809453,98.04951237809453,98.04951237809453
E5_Pooled_to_ToN,dos,3799,recall,0.9973677283495657,99.73677283495657,99.73677283495657
E5_Pooled_to_ToN,injection,3993,recall,0.9982469321312296,99.82469321312296,99.82469321312296
E5_Pooled_to_ToN,mitm,208,recall,0.8798076923076923,87.98076923076923,87.98076923076923
E5_Pooled_to_ToN,normal,8408,specificity,0.9940532825880114,0.5946717411988582,99.40532825880113
E5_Pooled_to_ToN,password,3972,recall,0.9992447129909365,99.92447129909365,99.92447129909365
E5_Pooled_to_ToN,ransomware,2947,recall,0.99830335934849,99.830335934849,99.830335934849
E5_Pooled_to_ToN,scanning,4000,recall,0.99975,99.97500000000001,99.97500000000001
E5_Pooled_to_ToN,xss,3027,recall,0.9990089197224975,99.90089197224975,99.90089197224975
