protocol,model,test_name,accuracy,precision,recall,f1,roc_auc,mcc,fpr,fnr,model_path
E5_Pooled_to_ToN,LightGBM,ToN-IoT test,0.995196,0.998311,0.99552,0.996914,0.999767,0.986104,0.005947,0.00448,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e5_pooled_to_ton__lightgbm.joblib
E5_Pooled_to_UNSW,LightGBM,UNSW test,0.922995,0.935179,0.924204,0.929659,0.980942,0.844673,0.078486,0.075796,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e5_pooled_to_unsw__lightgbm.joblib
