protocol,epoch,loss,label_loss,domain_loss,grl_lambda,threshold,val_f1,val_roc_auc,val_pr_auc,val_mcc,val_domain_accuracy,learning_rate
DANN_ToN_to_UNSW,1,0.21891576748701833,0.06144001494131742,0.7873787389647576,0.16514041292462944,0.175,0.9896203085308615,0.9956421861074681,0.998721061242205,0.952791400562512,0.2832130556011153,0.001
DANN_ToN_to_UNSW,2,0.22983926702891627,0.0327783718464836,0.9853044613715141,0.32151273753163445,0.05,0.9896129694786283,0.9967018724409703,0.9990714509699528,0.9528647779504644,0.4793340987370838,0.001
DANN_ToN_to_UNSW,3,0.17774286457607824,0.028503886784516996,0.7461948760094181,0.4621171572600098,0.05,0.9910546139359698,0.9978687767653364,0.9993965092057977,0.959260068901219,0.3334563446503745,0.001
DANN_ToN_to_UNSW,4,0.18803969722601674,0.02690816709711667,0.8056576425029386,0.5827829453479101,0.19999999999999996,0.991235920903764,0.9976868737567921,0.9993418426454631,0.9607216071587825,0.47938877043354655,0.001
DANN_ToN_to_UNSW,5,0.17206710552976978,0.02495511020383527,0.7355599595654395,0.6822617902381698,0.05,0.9920018819101388,0.9982314990844696,0.9994495788749987,0.9635142367188596,0.403709474604997,0.001
DANN_ToN_to_UNSW,6,0.183608737443724,0.024669773996837677,0.7946948082216324,0.7615941559557646,0.055,0.9929713317564961,0.9979686332220304,0.9993590683414015,0.9678615255925781,0.3006806626209611,0.001
DANN_ToN_to_UNSW,7,0.17754156358780399,0.025354461383915717,0.76093549882212,0.8232006455858834,0.065,0.9931819708470477,0.998148489022977,0.9994733283031666,0.9688735102060115,0.5972746159313324,0.001
DANN_ToN_to_UNSW,8,0.18092501427858107,0.025161569787850304,0.7788172114279962,0.870061661742672,0.075,0.992049114331723,0.9976397138659205,0.9992862961177069,0.9636200378020289,0.5167568749658302,0.001
DANN_ToN_to_UNSW,9,0.19748262099681363,0.026158182040577935,0.8566221777469881,0.9051482536448667,0.12499999999999999,0.9926853001375701,0.9971526086616929,0.9989269599860082,0.9665512533581301,0.4994669509594883,0.001
DANN_ToN_to_UNSW,10,0.18346126521787337,0.027479350506778685,0.7799095588345681,0.9311096086675774,0.08499999999999999,0.9919702278175448,0.9976283480577904,0.9993347760298005,0.963231415434411,0.3333880050297961,0.001
DANN_ToN_to_UNSW,11,0.17075829448238497,0.022601954789171295,0.7407816840756324,0.9501511467057719,0.09,0.992708122341503,0.9982403709851053,0.9994908835456453,0.9672630053628101,0.07446285058225356,0.0005
DANN_ToN_to_UNSW,12,0.16065245205836912,0.020850040604390444,0.6990120449373799,0.9640275800758169,0.18,0.9949984001616679,0.9984941466048066,0.999576461566639,0.9773294349545174,0.8548739817396533,0.0005
DANN_ToN_to_UNSW,13,0.15818596763476248,0.01919661133339809,0.694946764938293,0.9740925449386082,0.16999999999999998,0.994743581103848,0.9984268852185906,0.9995537902519863,0.9762105888667499,0.11923896998523864,0.0005
DANN_ToN_to_UNSW,14,0.16272565890704432,0.0198854326510862,0.714201113870067,0.9813680813098666,0.25999999999999995,0.9945430659884799,0.9981180573421325,0.9994470304249412,0.9752757015736367,0.5086791318134601,0.0005
DANN_ToN_to_UNSW,15,0.16517828272715693,0.021180288761012977,0.7199899515798015,0.9866142981514305,0.05,0.991968546273271,0.9979469692786174,0.9993288453961514,0.9633591560639024,0.31776556776556775,0.0005
DANN_ToN_to_UNSW,16,0.1878344565629959,0.02108408316909786,0.8337518543966355,0.9903904942256809,0.14999999999999997,0.9948619463957817,0.9984138487929104,0.9994950251816245,0.9767389530784822,0.5065059318790662,0.00025
