protocol,epoch,loss,label_loss,domain_loss,grl_lambda,threshold,val_f1,val_roc_auc,val_pr_auc,val_mcc,val_domain_accuracy,learning_rate
DANN_UNSW_to_ToN,1,0.30885642574679467,0.16937669883331946,0.6973986250738944,0.16514041292462944,0.38999999999999996,0.9485572893802131,0.974972702563995,0.9875531608119111,0.832246509652908,0.4541304466677601,0.001
DANN_UNSW_to_ToN,2,0.3198554722532149,0.12085919935376413,0.994981353321383,0.32151273753163445,0.195,0.951894576624209,0.9796010160369397,0.9901871595142273,0.8435876589586442,0.13525777704882183,0.001
DANN_UNSW_to_ToN,3,0.2843255105037843,0.11420560063373658,0.8505995417794874,0.4621171572600098,0.075,0.9523904820989013,0.9809580642554898,0.9908399496037634,0.845401748024522,0.5603165491225193,0.001
DANN_UNSW_to_ToN,4,0.26586127233120704,0.1092958327743315,0.7828271773553663,0.5827829453479101,0.06,0.9528613463039692,0.9817056885649648,0.9905321607386162,0.8470275050589113,0.23104258925154447,0.001
DANN_UNSW_to_ToN,5,0.27535476247149127,0.10958102393534876,0.8288686765778449,0.6822617902381698,0.105,0.9531203105304228,0.9813870595003681,0.9903710722028917,0.8479823992792079,0.518328686239134,0.001
DANN_UNSW_to_ToN,6,0.26014327690485983,0.10700141866841624,0.7657092819290776,0.7615941559557646,0.18,0.9532137997278476,0.9827314362472543,0.9916926422251473,0.8482927377948792,0.4202476627849762,0.001
DANN_UNSW_to_ToN,7,0.2637664776655935,0.1060826975491739,0.7884188784706977,0.8232006455858834,0.31999999999999995,0.9539540351019415,0.9828517806269937,0.9913986857230142,0.850190285691089,0.5344978404679898,0.001
DANN_UNSW_to_ToN,8,0.2799800007093337,0.10832489942831378,0.8582754952292289,0.870061661742672,0.32499999999999996,0.9535294475912053,0.9829128786291842,0.991469458937406,0.8488031151715677,0.6502241539554973,0.001
DANN_UNSW_to_ToN,9,0.2577086997128302,0.10592880027909432,0.7588995012544817,0.9051482536448667,0.38999999999999996,0.9543555062077319,0.9830639207010886,0.9918779119942004,0.8515820794888926,0.5283882783882784,0.001
DANN_UNSW_to_ToN,10,0.26565994009856253,0.10758518343490939,0.79037376757591,0.9311096086675774,0.25999999999999995,0.9528228306301622,0.9809189631799763,0.9907609979429162,0.8469991512055618,0.21926083866382373,0.001
DANN_UNSW_to_ToN,11,0.25293811867314,0.10747415067688111,0.7273198250801333,0.9501511467057719,0.10999999999999999,0.9531765223125962,0.9834756995774555,0.9920678899567248,0.8483371408933693,0.47807664971844077,0.001
DANN_UNSW_to_ToN,12,0.2514759672264899,0.1061087207448098,0.7268362208720176,0.9640275800758169,0.38999999999999996,0.9541795169623903,0.9816146858896477,0.9905033776140761,0.8515788117231138,0.8119840358646329,0.001
DANN_UNSW_to_ToN,13,0.2986985949739333,0.11049775454786516,0.9410041897527633,0.9740925449386082,0.4099999999999999,0.9532155533719694,0.9804527521501291,0.9904885752841014,0.8480683235677202,0.2737958558854081,0.0005
DANN_UNSW_to_ToN,14,0.24382437405086332,0.10752744107477126,0.6814846463741795,0.9813680813098666,0.3999999999999999,0.9542654318469259,0.9830708820616101,0.9918736256872029,0.8515500587075328,0.6165463889344487,0.0005
DANN_UNSW_to_ToN,15,0.23475520889605245,0.10309283399293499,0.6583118679062012,0.9866142981514305,0.38999999999999996,0.9540926279835725,0.983247762713741,0.9919688877346864,0.8507590537693748,0.2810671915149527,0.0005
