protocol,epoch,loss,label_loss,domain_loss,grl_lambda,threshold,val_f1,val_roc_auc,val_pr_auc,val_mcc,val_domain_accuracy,learning_rate
DANN_Pooled_to_UNSW,1,0.3198082088943451,0.12338903690538099,0.9820958433612701,0.16514041292462944,0.36999999999999994,0.9676156877876692,0.9878981575362275,0.9953580324289413,0.8753545585788778,0.14907604832977966,0.001
DANN_Pooled_to_UNSW,2,0.251646724920119,0.08001875673090258,0.8581398273667982,0.32151273753163445,0.22499999999999998,0.9725654718830438,0.9917198678039075,0.9967780860022053,0.8945391520733653,0.72576677054289,0.001
DANN_Pooled_to_UNSW,3,0.21864663689367234,0.07192815311493413,0.7335924112027691,0.4621171572600098,0.075,0.9739195502993138,0.9926921406105337,0.9972854446954946,0.8999231252545234,0.4919905964682084,0.001
DANN_Pooled_to_UNSW,4,0.21878099609767238,0.06913732148466571,0.7482183489107317,0.5827829453479101,0.29,0.974063242048903,0.9929006160601399,0.9973733489956094,0.9004671390375326,0.5445847684653655,0.001
DANN_Pooled_to_UNSW,5,0.21178453824212473,0.06610821535991084,0.728381598188031,0.6822617902381698,0.15999999999999998,0.9750518800223061,0.9933407779824923,0.9975129384861925,0.9043700040215682,0.3036602700781805,0.001
DANN_Pooled_to_UNSW,6,0.20695936151089206,0.06439051554808693,0.7128442189385814,0.7615941559557646,0.22999999999999998,0.9761242636027663,0.9940715892993448,0.9977962435613394,0.9086039353662996,0.5652506697282816,0.001
DANN_Pooled_to_UNSW,7,0.2048481839799112,0.06259047077788461,0.7112885540531527,0.8232006455858834,0.08499999999999999,0.975919139486214,0.9941694975458794,0.9978148258757114,0.9078258991184102,0.3014734022196709,0.001
DANN_Pooled_to_UNSW,8,0.20257898227822396,0.06144453867548896,0.7056721996876502,0.870061661742672,0.20499999999999996,0.9757361084415643,0.9941592306831342,0.9978009240707642,0.90705488136861,0.4793204308129681,0.001
DANN_Pooled_to_UNSW,9,0.19682658343545853,0.05898788769639308,0.689193461210497,0.9051482536448667,0.285,0.9770605102565988,0.9946833296720585,0.9980098431184915,0.9122837810019111,0.4793204308129681,0.001
DANN_Pooled_to_UNSW,10,0.19834027559526504,0.0586364092004876,0.6985193154504222,0.9311096086675774,0.295,0.9772792003160515,0.9947400295321501,0.9980127971770817,0.9131300336560028,0.4793340987370838,0.001
DANN_Pooled_to_UNSW,11,0.2038383462256001,0.05942966590725606,0.7220433758151147,0.9501511467057719,0.29,0.9765185008530388,0.9942427149469203,0.9978428419413498,0.9101269133110885,0.49136187195888686,0.001
DANN_Pooled_to_UNSW,12,0.21352164687648897,0.06158762911875402,0.7596700749089641,0.9640275800758169,0.13999999999999999,0.9755811932187263,0.9942378450553395,0.9978671816235696,0.9064495696019682,0.4922092832540594,0.001
DANN_Pooled_to_UNSW,13,0.19821571919225878,0.059960606057317026,0.6912755523958514,0.9740925449386082,0.29,0.977054482967755,0.9947558452525882,0.998027232773115,0.9122564284797118,0.7759553878956864,0.001
DANN_Pooled_to_UNSW,14,0.20102324841483946,0.05934465868819144,0.7083929344531028,0.9813680813098666,0.29,0.9770640093398664,0.9948328445805775,0.9980771965193538,0.9123049902074285,0.4793204308129681,0.0005
DANN_Pooled_to_UNSW,15,0.195424796833146,0.05704168428576762,0.6919155457327443,0.9866142981514305,0.24999999999999994,0.9772733538574645,0.9948736034971681,0.9980868970021359,0.9131131722982289,0.46403969165163195,0.0005
DANN_Pooled_to_UNSW,16,0.1935748594903177,0.055890672629879366,0.688420920602737,0.9903904942256809,0.25499999999999995,0.9771324663874807,0.9950714592692401,0.9981548105656451,0.912548274335906,0.4793204308129681,0.0005
